store_id,item_id,wm_yr_wk,sell_price
TX_3,HOBBIES_2_004,11103,10.52
TX_3,HOBBIES_2_004,11104,10.56
TX_3,HOBBIES_2_004,11105,10.65
WI_1,HOBBIES_2_004,11101,46.45
WI_1,HOBBIES_2_004,11102,43.1
WI_1,HOBBIES_2_004,11103,45.4
WI_1,HOBBIES_2_004,11104,44.62
WI_1,HOBBIES_2_004,11105,43.18
WI_3,HOBBIES_2_004,11101,51.09
WI_3,HOBBIES_2_004,11102,47.31
WI_3,HOBBIES_2_004,11103,46.8
WI_3,HOBBIES_2_004,11104,50.06
WI_3,HOBBIES_2_004,11105,49.64
CA_1,HOUSEHOLD_1_012,11101,45.67
CA_1,HOUSEHOLD_1_012,11102,44.97
CA_1,HOUSEHOLD_1_012,11103,45.79
CA_1,HOUSEHOLD_1_012,11104,44.66
CA_1,HOUSEHOLD_1_012,11105,44.74
CA_2,HOUSEHOLD_1_012,11101,45.23
CA_2,HOUSEHOLD_1_012,11102,45.5
CA_2,HOUSEHOLD_1_012,11103,43.7
CA_2,HOUSEHOLD_1_012,11104,44.86
CA_2,HOUSEHOLD_1_012,11105,47.31
TX_1,HOUSEHOLD_1_012,11101,32.34
TX_1,HOUSEHOLD_1_012,11102,31.38
TX_1,HOUSEHOLD_1_012,11103,30.94
TX_1,HOUSEHOLD_1_012,11104,31.49
TX_1,HOUSEHOLD_1_012,11105,30.99
TX_3,HOUSEHOLD_1_012,11101,41.42
TX_3,HOUSEHOLD_1_012,11102,42.95
TX_3,HOUSEHOLD_1_012,11103,40.74
TX_3,HOUSEHOLD_1_012,11104,43.06
TX_3,HOUSEHOLD_1_012,11105,44.02
WI_1,HOUSEHOLD_1_012,11101,31.4
WI_1,HOUSEHOLD_1_012,11102,32.65
WI_1,HOUSEHOLD_1_012,11103,31.61
WI_1,HOUSEHOLD_1_012,11104,30.46
WI_1,HOUSEHOLD_1_012,11105,30.56
WI_3,HOUSEHOLD_1_012,11101,36.7
WI_3,HOUSEHOLD_1_012,11102,35.15
WI_3,HOUSEHOLD_1_012,11103,35.3
WI_3,HOUSEHOLD_1_012,11104,37.62
WI_3,HOUSEHOLD_1_012,11105,34.43
CA_1,HOUSEHOLD_2_067,11101,20.49
CA_1,HOUSEHOLD_2_067,11102,22.11
CA_1,HOUSEHOLD_2_067,11103,20.55
CA_1,HOUSEHOLD_2_067,11104,21.8
CA_1,HOUSEHOLD_2_067,11105,20.47
CA_2,HOUSEHOLD_2_067,11101,35.47
CA_2,HOUSEHOLD_2_067,11102,33.95
CA_2,HOUSEHOLD_2_067,11103,34.37
CA_2,HOUSEHOLD_2_067,11104,33.96
CA_2,HOUSEHOLD_2_067,11105,33.61
TX_1,HOUSEHOLD_2_067,11101,39.63
TX_1,HOUSEHOLD_2_067,11102,41.46
TX_1,HOUSEHOLD_2_067,11103,39.37
TX_1,HOUSEHOLD_2_067,11104,39.54
TX_1,HOUSEHOLD_2_067,11105,39.89
TX_3,HOUSEHOLD_2_067,11101,30.14
TX_3,HOUSEHOLD_2_067,11102,31.02
TX_3,HOUSEHOLD_2_067,11103,29.41
TX_3,HOUSEHOLD_2_067,11104,28.8
TX_3,HOUSEHOLD_2_067,11105,31.12
WI_1,HOUSEHOLD_2_067,11101,39.61
WI_1,HOUSEHOLD_2_067,11102,41.9
WI_1,HOUSEHOLD_2_067,11103,40.93
WI_1,HOUSEHOLD_2_067,11104,42.66
WI_1,HOUSEHOLD_2_067,11105,42.99
WI_3,HOUSEHOLD_2_067,11101,44.04
WI_3,HOUSEHOLD_2_067,11102,41.86
WI_3,HOUSEHOLD_2_067,11103,44.18
WI_3,HOUSEHOLD_2_067,11104,42.99
WI_3,HOUSEHOLD_2_067,11105,40.93
CA_1,FOODS_1_001,11101,24.99
CA_1,FOODS_1_001,11102,24.86
CA_1,FOODS_1_001,11103,22.98
CA_1,FOODS_1_001,11104,24.52
CA_1,FOODS_1_001,11105,24.66
CA_2,FOODS_1_001,11101,14.98
CA_2,FOODS_1_001,11102,15.34
CA_2,FOODS_1_001,11103,14.94
CA_2,FOODS_1_001,11104,14.44
CA_2,FOODS_1_001,11105,15.34
TX_1,FOODS_1_001,11101,46.46
TX_1,FOODS_1_001,11102,47.01
TX_1,FOODS_1_001,11103,45.11
TX_1,FOODS_1_001,11104,44.31
TX_1,FOODS_1_001,11105,46.41
TX_3,FOODS_1_001,11101,18.37
TX_3,FOODS_1_001,11102,17.06
TX_3,FOODS_1_001,11103,17.62
TX_3,FOODS_1_001,11104,17.55
TX_3,FOODS_1_001,11105,18.51
WI_1,FOODS_1_001,11101,8.89
WI_1,FOODS_1_001,11102,9.11
WI_1,FOODS_1_001,11103,9.65
WI_1,FOODS_1_001,11104,9.08
WI_1,FOODS_1_001,11105,9.11
WI_3,FOODS_1_001,11101,8.41
WI_3,FOODS_1_001,11102,7.88
WI_3,FOODS_1_001,11103,8.1
WI_3,FOODS_1_001,11104,8.06
WI_3,FOODS_1_001,11105,8.28
CA_1,FOODS_2_099,11101,37.18
CA_1,FOODS_2_099,11102,38.66
CA_1,FOODS_2_099,11103,38.73
CA_1,FOODS_2_099,11104,36.55
CA_1,FOODS_2_099,11105,38.09
CA_2,FOODS_2_099,11101,38.93
CA_2,FOODS_2_099,11102,37.27
CA_2,FOODS_2_099,11103,37.58
CA_2,FOODS_2_099,11104,37.15
CA_2,FOODS_2_099,11105,38.78
TX_1,FOODS_2_099,11101,12.69
TX_1,FOODS_2_099,11102,12.86
TX_1,FOODS_2_099,11103,12.67
TX_1,FOODS_2_099,11104,13.11
TX_1,FOODS_2_099,11105,12.55
TX_3,FOODS_2_099,11101,18.09
TX_3,FOODS_2_099,11102,17.21
TX_3,FOODS_2_099,11103,17.8
TX_3,FOODS_2_099,11104,16.7
TX_3,FOODS_2_099,11105,16.93
WI_1,FOODS_2_099,11101,41.82
WI_1,FOODS_2_099,11102,40.29
WI_1,FOODS_2_099,11103,42.6
WI_1,FOODS_2_099,11104,42.43
WI_1,FOODS_2_099,11105,42.64
WI_3,FOODS_2_099,11101,21.86
WI_3,FOODS_2_099,11102,22.83
WI_3,FOODS_2_099,11103,22.96
WI_3,FOODS_2_099,11104,21.7
WI_3,FOODS_2_099,11105,23.19
CA_1,FOODS_3_042,11101,2.86
CA_1,FOODS_3_042,11102,2.82
CA_1,FOODS_3_042,11103,2.94
CA_1,FOODS_3_042,11104,2.81
CA_1,FOODS_3_042,11105,2.96
CA_2,FOODS_3_042,11101,31.46
CA_2,FOODS_3_042,11102,32.05
CA_2,FOODS_3_042,11103,31.11
CA_2,FOODS_3_042,11104,32.04
CA_2,FOODS_3_042,11105,29.12
TX_1,FOODS_3_042,11101,17.52
TX_1,FOODS_3_042,11102,17.8
TX_1,FOODS_3_042,11103,18.85
TX_1,FOODS_3_042,11104,17.38
TX_1,FOODS_3_042,11105,18.27
TX_3,FOODS_3_042,11101,29.4
TX_3,FOODS_3_042,11102,29.15
TX_3,FOODS_3_042,11103,30.07
TX_3,FOODS_3_042,11104,28.15
TX_3,FOODS_3_042,11105,28.67
WI_1,FOODS_3_042,11101,32.16
WI_1,FOODS_3_042,11102,31.25
WI_1,FOODS_3_042,11103,32.74
WI_1,FOODS_3_042,11104,31.29
WI_1,FOODS_3_042,11105,31.25
WI_3,FOODS_3_042,11101,3.76
WI_3,FOODS_3_042,11102,3.82
WI_3,FOODS_3_042,11103,3.59
WI_3,FOODS_3_042,11104,3.67
WI_3,FOODS_3_042,11105,3.84
